raw_taulu
ataru_hakemus
ataru_lomake
hakukohderyhmapalvelu_ryhma
koodisto_koodi
koodisto_relaatio
kouta_ammattinimike
kouta_asiasana
kouta_haku
kouta_hakukohde
kouta_koulutus
kouta_oppilaitoksetjaosat
kouta_pistehistoria
kouta_sorakuvaus
kouta_toteutus
kouta_valintaperuste
ohjausparametrit_parameter
onr_henkilo
onr_yhteystieto
organisaatio_organisaatio
organisaatio_organisaatiosuhde
organisaatio_osoite
organisaatio_ryhma
sure_arvosana
sure_ensikertalainen
sure_harkinnanvaraisuus
sure_opiskelija
sure_opiskeluoikeus
sure_proxysuoritus
sure_suoritus
valintalaskenta_valintakoe_osallistuminen
valintalaskenta_valintalaskennan_tulos
valintaperusteet_hakukohde
valintapiste_service_pistetieto
valintarekisteri_hyvaksyttyjulkaistuhakutoive
valintarekisteri_ilmoittautuminen
valintarekisteri_jonosija
valintarekisteri_lukuvuosimaksu
valintarekisteri_valinnantulos
valintarekisteri_valintatapajono
valintarekisteri_vastaanotto
